Produced Item Name,Perks Needed,Items Required
Leather Bearskin Hood - Ornate Brown,Craftsmanship,1 Leather
Leather Bearskin Hood - Ornate White,Craftsmanship,1 Leather
Leather Bearskin Hood - Trimmed Black,Craftsmanship,1 Leather
Leather Bearskin Hood - Trimmed Brown,Craftsmanship,1 Leather
Leather Bearskin Hood - Trimmed White,Craftsmanship,1 Leather
Leather Bearskin Hood - White,Craftsmanship,1 Leather
Leather Boots,Craftsmanship,1 Leather
Leather Bracers,Craftsmanship,1 Leather
Leather Cuirass,Craftsmanship,1 Leather
Leather Executioner's Boots,Advanced Blacksmithing,1 Leather: Dark
Leather Executioner's Cuirass,Advanced Blacksmithing,1 Leather: Dark
Leather Executioner's Gloves,Advanced Blacksmithing,1 Leather: Dark
Leather Executioner's Hood,Advanced Blacksmithing,1 Leather: Dark
Leather Helmet,Craftsmanship,1 Leather
Leather Hood,Craftsmanship,1 Leather
Leather Hood - Black,Advanced Blacksmithing,1 Leather: Dark
Leather Wolfskin Hood - Black,Craftsmanship,1 Leather
Leather Wolfskin Hood - Brown,Craftsmanship,1 Leather
Leather Wolfskin Hood - Dark Trimmed Black,Craftsmanship,1 Leather
Leather Wolfskin Hood - Dark Trimmed Brown,Craftsmanship,1 Leather
Leather Wolfskin Hood - Dark Trimmed White,Craftsmanship,1 Leather
Leather Wolfskin Hood - Light Trimmed Black,Craftsmanship,1 Leather
Leather Wolfskin Hood - Light Trimmed Brown,Craftsmanship,1 Leather
Leather Wolfskin Hood - Light Trimmed White,Craftsmanship,1 Leather
Leather Wolfskin Hood - Noble Black,Craftsmanship,1 Leather
Leather Wolfskin Hood - Noble Brown,Craftsmanship,1 Leather
Leather Wolfskin Hood - Noble White,Craftsmanship,1 Leather
Leather Wolfskin Hood - Ornate Black,Craftsmanship,1 Leather
Leather Wolfskin Hood - Ornate Brown,Craftsmanship,1 Leather
Leather Wolfskin Hood - Ornate White,Craftsmanship,1 Leather
Leather Wolfskin Hood - White,Craftsmanship,1 Leather
Linen Alik'r Boots - Dark,Craftsmanship,1 Leather
Linen Alik'r Boots - Dark,Craftsmanship,1 Leather
Linen Alik'r Boots - Tan,Craftsmanship,1 Leather
Linen Alik'r Garb - Red,Craftsmanship,1 Leather
Linen Alik'r Garb - Red,Craftsmanship,1 Leather
Linen Alik'r Garb - White,Craftsmanship,1 Leather
Linen Alik'r Hood - Blue,Craftsmanship,1 Leather
Linen Alik'r Hood - Red,Craftsmanship,1 Leather
Linen Alik'r Hood - Red,Craftsmanship,1 Leather
Linwe's Boots,Craftsmanship,1 Leather
Linwe's Cuirass,Craftsmanship,1 Leather
Linwe's Gloves,Craftsmanship,1 Leather
Linwe's Hood,Craftsmanship,1 Leather
Mammoth Hide Boots (Basic Level 4),Craftsmanship,1 Pelt: Mammoth Section (Flawless)
Mammoth Hide Boots (Crude),Craftsmanship,1 Pelt: Mammoth Section
Mammoth Hide Boots (Good),Craftsmanship,1 Pelt: Mammoth Section
Mammoth Hide Boots (Superlative),Craftsmanship,1 Pelt: Mammoth Section
Mammoth Hide Cuirass (Basic Level 4),Craftsmanship,1 Pelt: Mammoth Section (Flawless)
Mammoth Hide Cuirass (Crude),Craftsmanship,1 Pelt: Mammoth Section
Mammoth Hide Cuirass (Good),Craftsmanship,1 Pelt: Mammoth Section
Mammoth Hide Cuirass (Superlative),Craftsmanship,1 Pelt: Mammoth Section
Mammoth Hide Gauntlets (Crude),Craftsmanship,1 Pelt: Mammoth Section
Mammoth Hide Gauntlets (Good),Craftsmanship,1 Pelt: Mammoth Section
Mammoth Hide Gauntlets (Superlative),Craftsmanship,1 Pelt: Mammoth Section (Flawless)
Mammoth Hide Gauntlets (Superlative),Craftsmanship,1 Pelt: Mammoth Section
Nightingale Armor,Advanced Blacksmithing,1 Void Salts
Nightingale Boots,Advanced Blacksmithing,1 Void Salts
Nightingale Boots,Advanced Light Smithing,1 Void Salts
Nightingale Cuirass,Advanced Light Smithing,1 Void Salts
Nightingale Gloves,Advanced Light Smithing,1 Void Salts
Nightingale Gloves,Advanced Blacksmithing,1 Void Salts
Nightingale Hood,Advanced Light Smithing,1 Void Salts
Nightingale Hood,Advanced Blacksmithing,1 Void Salts
Nordic Boots - Brown,Nordic Blacksmithing,1 Ingot: Galatite
Nordic Boots - White,Nordic Blacksmithing,1 Ingot: Galatite
Nordic Cuirass - Brown,Nordic Blacksmithing,1 Ingot: Galatite
Nordic Cuirass - White,Nordic Blacksmithing,1 Ingot: Galatite
Nordic Gauntlets - Brown,Nordic Blacksmithing,1 Ingot: Galatite
Nordic Gauntlets - White,Nordic Blacksmithing,1 Ingot: Galatite
Nordic Shield - Brown,Nordic Blacksmithing,1 Ingot: Galatite
Nordic Shield - White,Nordic Blacksmithing,1 Ingot: Galatite
Orcish Heavy Boots,Orcish Blacksmithing,1 Ingot: Orichalcum
Orcish Heavy Cuirass,Orcish Blacksmithing,1 Ingot: Orichalcum
Orcish Heavy Gauntlets,Orcish Blacksmithing,1 Ingot: Orichalcum
Orcish Heavy Helmet,Orcish Blacksmithing,1 Ingot: Orichalcum
Orcish Shield,Orcish Blacksmithing,1 Ingot: Orichalcum
Penitus Oculatus Boots,Craftsmanship,1 Leather
Penitus Oculatus Bracers,Craftsmanship,1 Leather
Penitus Oculatus Cuirass,Craftsmanship,1 Leather
Penitus Oculatus Helmet,Craftsmanship,1 Leather
Predator's Grace,Craftsmanship,1 Leather
Quicksilver Boots,Nordic Blacksmithing,1 Ingot: Galatite
Quicksilver Cuirass,Nordic Blacksmithing,1 Ingot: Galatite
Quicksilver Gauntlets,Nordic Blacksmithing,1 Ingot: Galatite
Quicksilver Helmet,Nordic Blacksmithing,1 Ingot: Galatite
Quicksilver Shield,Nordic Blacksmithing,1 Ingot: Galatite
Savior's Hide,Legendary Blacksmithing,1 Pelt: Werewolf
Savior's Hide - Black,Legendary Blacksmithing,1 Pelt: Cave Bear
Savior's Hide - White,Legendary Blacksmithing,1 Pelt: Snow Bear
Savior's Hide Replica,Advanced Blacksmithing,1 Pelt: Bear 1 Ingot: Steel
Savior's Hide Replica,Advanced Blacksmithing,1 Ingot: Steel 1 Fur Plate
Scaled Boots,Advanced Light Smithing,1 Ingot: Corundum
Scaled Bracers,Advanced Light Smithing,1 Ingot: Corundum
Scaled Cuirass,Advanced Light Smithing,1 Ingot: Corundum
Scaled Cuirass - Horned,Advanced Light Smithing,1 Ingot: Corundum
Scaled Cuirass of the Traveler,Advanced Light Smithing,1 Ingot: Corundum
Scaled Helmet,Advanced Light Smithing,1 Ingot: Corundum
Shellbug Helmet,Ebony Blacksmithing,1 Ingot: Ebony
Shield of Solitude,Craftsmanship,1 Ingot: Iron
Shield of Ysgramor,Ebony Blacksmithing,1 Ingot: Ebony
Shield of Ysgramor Replica,Advanced Blacksmithing,1 Ingot: Ebony
Shrouded Ancient Boots,Craftsmanship,1 Leather: Dark
Shrouded Ancient Cowl - Masked,Craftsmanship,1 Leather: Dark
Shrouded Ancient Cuirass,Craftsmanship,1 Leather: Dark
Shrouded Ancient Gloves,Craftsmanship,1 Leather: Red
Shrouded Boots,Craftsmanship,1 Leather: Dark
Shrouded Boots,Craftsmanship,1 Leather: Dark
Shrouded Cowl,Craftsmanship,1 Leather: Dark
Shrouded Cowl,Craftsmanship,1 Leather: Dark
Shrouded Cowl - Maskless,Craftsmanship,1 Leather: Dark
Shrouded Cowl - Maskless,Craftsmanship,1 Leather: Dark
Shrouded Cuirass,Craftsmanship,1 Leather: Dark
Shrouded Cuirass,Craftsmanship,1 Leather: Dark
Shrouded Cuirass,Advanced Light Smithing,1 Leather: Dark
Shrouded Gloves,Craftsmanship,1 Leather: Red
Shrouded Gloves,Craftsmanship,1 Leather: Red
Shrouded Sleeveless Cuirass,Craftsmanship,1 Leather: Dark
Shrouded Sleeveless Cuirass,Craftsmanship,1 Leather: Dark
Shrouded Supple Boots,Advanced Light Smithing,1 Leather: Dark
Shrouded Supple Cowl,Advanced Light Smithing,1 Leather: Dark
Shrouded Supple Cowl - Maskless,Advanced Light Smithing,1 Leather: Dark
Shrouded Supple Gloves,Advanced Light Smithing,1 Leather: Red
Shrouded Worn Boots,Craftsmanship,1 Leather: Dark
Shrouded Worn Cowl,Craftsmanship,1 Leather: Dark
Shrouded Worn Cowl - Maskless,Craftsmanship,1 Leather: Dark
Shrouded Worn Cuirass,Craftsmanship,1 Leather: Dark
Shrouded Worn Gloves,Craftsmanship,1 Leather: Red
Skyforge Steel Aegis,Advanced Blacksmithing,1 Ingot: Galatite
Spellbreaker,Legendary Blacksmithing,1 Ingot: Dwarven
Spellbreaker Replica,Advanced Blacksmithing,1 Ingot: Dwarven
Stalhrim Heavy Boots,Stalhrim Smithing,1 Stalhrim
Stalhrim Heavy Cuirass,Stalhrim Smithing,1 Stalhrim
Stalhrim Heavy Gauntlets,Stalhrim Smithing,1 Stalhrim
Stalhrim Heavy Helmet,Stalhrim Smithing,1 Stalhrim
Stalhrim Light Boots,Stalhrim Smithing,1 Stalhrim
Stalhrim Light Cuirass,Stalhrim Smithing,1 Stalhrim
Stalhrim Light Gauntlets,Stalhrim Smithing,1 Stalhrim
Stalhrim Light Helmet,Stalhrim Smithing,1 Stalhrim
Stalhrim Light Shield,Stalhrim Smithing,1 Stalhrim
Steel Bearskin Hood - Black,Craftsmanship,1 Ingot: Steel 2 Leather Strips
Steel Bearskin Hood - Brown,Craftsmanship,1 Ingot: Steel 2 Leather Strips
Steel Bearskin Hood - Ornate Black,Craftsmanship,1 Ingot: Steel 2 Leather Strips
Steel Bearskin Hood - Ornate Brown,Craftsmanship,1 Ingot: Steel 2 Leather Strips
Steel Bearskin Hood - Ornate White,Craftsmanship,1 Ingot: Steel 2 Leather Strips
Steel Bearskin Hood - Trimmed Black,Craftsmanship,1 Ingot: Steel 2 Leather Strips
Steel Bearskin Hood - Trimmed Brown,Craftsmanship,1 Ingot: Steel 2 Leather Strips
Steel Bearskin Hood - Trimmed White,Craftsmanship,1 Ingot: Steel 2 Leather Strips
Steel Bearskin Hood - White,Craftsmanship,1 Ingot: Steel 2 Leather Strips
Steel Boots,Craftsmanship,1 Ingot: Steel
Steel Boots - White,Craftsmanship,1 Ingot: Steel
Steel Bracers,Craftsmanship,1 Ingot: Steel
Steel Cuirass,Craftsmanship,1 Ingot: Steel
Steel Cuirass - White,Craftsmanship,1 Ingot: Steel
Steel Furred Plate Cuirass,Advanced Blacksmithing,1 Ingot: Corundum
Steel Gauntlets,Craftsmanship,1 Ingot: Steel
Steel Gauntlets - White,Craftsmanship,1 Ingot: Steel
Steel Greaves,Craftsmanship,1 Ingot: Steel
Steel Helmet,Craftsmanship,1 Ingot: Steel
Steel Helmet - White,Craftsmanship,1 Ingot: Steel
Steel Horned Helmet,Craftsmanship,1 Ingot: Steel
Steel Pauldroned Cuirass,Craftsmanship,1 Ingot: Steel
Steel Pauldroned Cuirass - Katria's,Craftsmanship,1 Ingot: Steel
Steel Pauldroned Cuirass - White,Craftsmanship,1 Ingot: Steel
Steel Plate Boots,Advanced Blacksmithing,1 Ingot: Corundum
Steel Plate Cuirass,Advanced Blacksmithing,1 Ingot: Corundum
Steel Plate Gauntlets,Advanced Blacksmithing,1 Ingot: Corundum
Steel Plate Helmet,Advanced Blacksmithing,1 Ingot: Corundum
Steel Plate Shield,Advanced Blacksmithing,1 Ingot: Corundum
Steel Robed Plate Cuirass,Advanced Blacksmithing,1 Ingot: Corundum
Steel Shield,Craftsmanship,1 Ingot: Steel
Steel Wolfskin Hood - Black,Craftsmanship,1 Ingot: Steel 2 Leather Strips
Steel Wolfskin Hood - Brown,Craftsmanship,1 Ingot: Steel 2 Leather Strips
Steel Wolfskin Hood - Dark Trimmed Black,Craftsmanship,1 Ingot: Steel 2 Leather Strips
Steel Wolfskin Hood - Dark Trimmed Brown,Craftsmanship,1 Ingot: Steel 2 Leather Strips
Steel Wolfskin Hood - Dark Trimmed White,Craftsmanship,1 Ingot: Steel 2 Leather Strips
Steel Wolfskin Hood - Light Trimmed Black,Craftsmanship,1 Ingot: Steel 2 Leather Strips
Steel Wolfskin Hood - Light Trimmed Brown,Craftsmanship,1 Ingot: Steel 2 Leather Strips
Steel Wolfskin Hood - Light Trimmed White,Craftsmanship,1 Ingot: Steel 2 Leather Strips
Steel Wolfskin Hood - Noble Black,Craftsmanship,1 Ingot: Steel 2 Leather Strips
Steel Wolfskin Hood - Noble Brown,Craftsmanship,1 Ingot: Steel 2 Leather Strips
Steel Wolfskin Hood - Noble White,Craftsmanship,1 Ingot: Steel 2 Leather Strips
Steel Wolfskin Hood - Ornate Black,Craftsmanship,1 Ingot: Steel 2 Leather Strips
Steel Wolfskin Hood - Ornate Brown,Craftsmanship,1 Ingot: Steel 2 Leather Strips
Steel Wolfskin Hood - Ornate White,Craftsmanship,1 Ingot: Steel 2 Leather Strips
Steel Wolfskin Hood - White,Craftsmanship,1 Ingot: Steel 2 Leather Strips
Stormcloak General Boots,Advanced Blacksmithing,1 Ingot: Steel
Stormcloak Heavy Helmet,Craftsmanship,1 Ingot: Iron
Stormcloak Light Cuirass,Craftsmanship,1 Leather
Stormcloak Officer Boots,Craftsmanship,1 Ingot: Steel
Stormcloak Officer Bracers,Craftsmanship,1 Ingot: Steel
Stormcloak Officer Cuirass,Craftsmanship,1 Ingot: Steel
Stormcloak Officer Helmet,Craftsmanship,1 Leather
Stormcloak Sleeved Heavy Cuirass,Craftsmanship,1 Leather
Studded Cuirass,Craftsmanship,1 Ingot: Iron
Summerset Shadows Boots,Craftsmanship,1 Leather
Summerset Shadows Cuirass,Craftsmanship,1 Leather
Summerset Shadows Gloves,Craftsmanship,1 Leather
Summerset Shadows Hood,Craftsmanship,1 Leather
Targe of the Blooded,Craftsmanship,1 Ingot: Steel
Thieves Guild Boots,Craftsmanship,1 Leather
Thieves Guild Boots,Craftsmanship,1 Leather
Thieves Guild Boots - Grey,Craftsmanship,1 Leather
Thieves Guild Cowl,Craftsmanship,1 Leather
Thieves Guild Cowl - Grey,Craftsmanship,1 Leather
Thieves Guild Cuirass,Craftsmanship,1 Leather
Thieves Guild Cuirass,Craftsmanship,1 Leather
Thieves Guild Cuirass - Grey,Craftsmanship,1 Leather
Thieves Guild Gloves,Craftsmanship,1 Leather
Thieves Guild Gloves,Craftsmanship,1 Leather
Thieves Guild Gloves - Grey,Craftsmanship,1 Leather
Thieves Guild Hood,Craftsmanship,1 Leather
Thieves Guild Hood,Craftsmanship,1 Leather
Thieves Guild Hood - Grey,Craftsmanship,1 Leather
Thieves Guild Improved Boots,Advanced Light Smithing,1 Leather
Thieves Guild Improved Boots,Advanced Light Smithing,1 Leather
Thieves Guild Improved Boots - Grey,Advanced Light Smithing,1 Leather
Thieves Guild Improved Cuirass,Advanced Light Smithing,1 Leather
Thieves Guild Improved Cuirass,Advanced Light Smithing,1 Leather
Thieves Guild Improved Cuirass - Grey,Advanced Light Smithing,1 Leather
Thieves Guild Improved Gloves,Advanced Light Smithing,1 Leather
Thieves Guild Improved Gloves,Advanced Light Smithing,1 Leather
Thieves Guild Improved Gloves - Grey,Advanced Light Smithing,1 Leather
Thieves Guild Improved Hood,Advanced Light Smithing,1 Leather
Thieves Guild Improved Hood,Advanced Light Smithing,1 Leather
Thieves Guild Improved Hood - Grey,Advanced Light Smithing,1 Leather
Thieves Guild Improved Sleeveless Cuirass - Grey,Advanced Light Smithing,1 Leather
Thieves Guild Master's Boots,Advanced Light Smithing,1 Leather: Dark
Thieves Guild Master's Boots,Craftsmanship,1 Leather: Dark
Thieves Guild Master's Cowl,Advanced Light Smithing,1 Leather: Dark
Thieves Guild Master's Cuirass,Advanced Light Smithing,1 Leather: Dark
Thieves Guild Master's Cuirass,Craftsmanship,1 Leather: Dark
Thieves Guild Master's Gloves,Craftsmanship,1 Leather: Dark
Thieves Guild Master's Gloves,Advanced Light Smithing,1 Leather: Dark
Thieves Guild Master's Hood,Craftsmanship,1 Leather: Dark
Thieves Guild Master's Hood,Advanced Light Smithing,1 Leather: Dark
Thieves Guild Master's Sleeveless Cuirass,Advanced Light Smithing,1 Leather: Dark
Thieves Guild Sleeveless Cuirass,Craftsmanship,1 Leather
Thieves Guild Sleeveless Cuirass - Grey,Craftsmanship,1 Leather
Thieves Guild Sleeveless Improved Cuirass,Advanced Light Smithing,1 Leather
Tumblerbane Gloves,Advanced Light Smithing,1 Leather: Red
Ulfric's Boots,Advanced Blacksmithing,1 Ingot: Corundum
Ulfric's Bracers,Advanced Blacksmithing,1 Ingot: Corundum
Ulfric's Cuirass,Advanced Blacksmithing,1 Ingot: Corundum
Vampire Boots,Craftsmanship,1 Leather: Dark
Vampire Cuirass,Craftsmanship,1 Leather: Red
Vampire Cuirass,Craftsmanship,1 Leather
Vampire Cuirass,Craftsmanship,1 Leather: Dark
Vampire Gauntlets,Craftsmanship,1 Leather: Dark
Vampire Hood,Craftsmanship,1 Leather: Dark
Vampire Royal Cuirass,Craftsmanship,1 Leather: Dark
Vampire Royal Cuirass - Red,Craftsmanship,1 Leather: Dark
Vigilant's Boots,Advanced Blacksmithing,1 Ingot: Corundum
Vigilant's Cuirass,Advanced Blacksmithing,1 Ingot: Corundum
Vigilant's Gauntlets,Advanced Blacksmithing,1 Ingot: Corundum
Vigilant's Helmet,Advanced Blacksmithing,1 Ingot: Corundum
Visage of Mzund,Dwarven Blacksmithing,1 Ingot: Dwarven
Wolf Boots,Craftsmanship,1 Ingot: Steel
Wolf Cuirass,Craftsmanship,1 Ingot: Steel
Wolf Gauntlets,Craftsmanship,1 Ingot: Steel
Wolf Helmet,Craftsmanship,1 Ingot: Steel
Wolf Shield,Craftsmanship,1 Ingot: Steel
Wooden Walking Stick,Craftsmanship,2 Leather Strips